Saving all output to "/home/user12/USER12Q2.csv". Enter "record" with no arguments to stop it.
'NAME','ADDRESS','CITY','REVIEWSCOUNT'
'Shoppers Drug Mart','180 Danforth Avenue','Toronto','6'
'Shoppers Drug Mart','901 King St W','Toronto','6'
'Walgreens','8030 N 19Th Ave','Phoenix','6'
'Bloomfield Drug Store','4727 Liberty Ave','Pittsburgh','6'
'Fry's Food & Drug Stores','4707 E Shea Blvd','Phoenix','6'
'Albertsons','2727 N Power Rd','Mesa','6'
'Walgreens','133 W 8Th Ave','Homestead','6'
'Shoppers Drug Mart','1661 Denison Street','Markham','6'
'Fry's Food & Drug Stores & Fry's Marketplace','6601 W Indian School Rd','Phoenix','6'
'CVS Pharmacy','1111 N Dunlap St','Savoy','6'
'Cvs Pharmacy','630 S Green Valley Pkwy','Henderson','6'
'Shoppers Drug Mart','3010 Bloor St W','Etobicoke','6'
'Rite Aid','2300 Jane St','Pittsburgh','6'
'Fry's Food & Drug Stores & Fry's Marketplace','4329 W Northern Ave','Glendale','6'
'Walgreens','4249 W Glendale Ave','Phoenix','6'
'Walgreens','3020 Mayfield Rd','Cleveland Heights','6'
'Total Wellness Pharmacy','9787 N 91st St','Scottsdale','6'
'Cvs','3610 Matthews Mint Hl Rd','Matthews','6'
'Walgreens','5011 W Union Hills Dr','Glendale','6'
'Advanced Care Rx Pharmacy','4161 S Eastern Ave Ste A3','Las Vegas','6'
'CVS Pharmacy','7111 E Bell Rd','Scottsdale','6'
'Fry's & Fry's Marketplace','520 E Baseline Rd','Phoenix','6'
'Giant Eagle','14650 Snow Rd','Brook Park','6'
'Cvs Pharmacy','7530 W Cactus Rd','Peoria','6'
'Albertsons','16750 W Bell Rd','Surprise','6'
'CVS Pharmacy','242 5th Ave','Pittsburgh','6'
'Cvs Pharmacy','2425 E Desert Inn Rd','Las Vegas','6'
'Cvs Pharmacy','510 Tom Hall St','Fort Mill','6'
'CVS','1443 Richmond Rd','Lyndhurst','6'
'CVS Pharmacy','9901 W Thunderbird Blvd','Sun City','6'
'Fry's Food & Drug Stores','744 W Camelback Rd','Phoenix','58'
'Smith's','9750 S Maryland Pkwy','Las Vegas','54'
'Cvs Pharmacy','8116 Las Vegas Blvd S','Las Vegas','53'
'Walmart Supercenter','2501 S Market St','Gilbert','52'
'Kmart','7501 W Washington Ave','Las Vegas','52'
'CompleteCare Pharmacy','14 E Washington Ste C','Champaign','5'
'Marc's Stores','4519 Mayfield Rd','South Euclid','5'
'Cvs Pharmacy','4890 N Litchfield Rd','Litchfield Park','5'
'CVS','3300 S Las Vegas Blvd','Las Vegas','5'
'Shoppers Drug Mart','6428 Yonge Street','Toronto','5'
'Walgreens','2363 S Lindsay Rd','Gilbert','5'
'Seifen Lenz Der Kerzenladen','Esslinger Str. 24','Stuttgart','5'
'Rexall','10870 Yonge Street','Richmond Hill','5'
'Global Pharmacy Canada','1090 Dundas Street E Suite 106','Mississauga','5'
'Shoppers Drug Mart','2794 Victoria Park Avenue','North York','5'
'CVS Pharmacy','6100 Penn Ave','Pittsburgh','5'
'Rexall - Atrium on Bay','545 Bay Street','Toronto','5'
'CVS','4300 Nc Hwy 49','Harrisburg','5'
'Walgreens','2402 Village Green Pl','Champaign','5'
'CVS Pharmacy','3075 W Liberty Ave','Pittsburgh','5'
'Cvs Pharmacy','1740 Highway 160 W','Fort Mill','5'
'CVS Pharmacy','5700 Albemarle Rd','Charlotte','5'
'Shoppers Drug Mart','7060 Warden Avenue','Markham','5'
'CVS Pharmacy','4391 E Washington Ave','Las Vegas','5'
'Rite Aid','1915-1921 E Carson St','Pittsburgh','5'
'Cvs Pharmacy','6705 E Lake Mead Blvd','Las Vegas','5'
'Walgreens','8309 W Glendale Ave','Glendale','5'
'Fry's Food & Drug Stores & Fry's Marketplace','9245 W Union Hills Dr','Peoria','5'
'Bi-Lo','5336 Prosperity Church Rd','Charlotte','5'
'Walgreens','8302 Old Sauk Rd','Middleton','5'
'Target Pharmacy','9725 S Eastern Ave','Las Vegas','5'
'Walgreens','805 S Val Vista Dr','Gilbert','5'
'Marienhospital Stuttgart','BΓ¶heimstr. 37','Stuttgart','5'
'Rite Aid','12830 S Tryon St','Charlotte','5'
'Albertsons','4060 W Ray Rd','Chandler','5'
'Shoppers Drug Mart','467 Parliament Street','Toronto','5'
'CVS Pharmacy','7920 Sam Furr Rd','Huntersville','5'
'Giant Eagle','27505 Chardon Rd','Willoughby Hills','5'
'Shoppers Drug Mart','808 York Mills Road','Toronto','5'
'Rexall Drug Store','777 Bay St','Toronto','5'
'National Specialty Pharmacy','2970 St Rose Pkwy Ste 120','Henderson','5'
'Walgreens','2645 State Rd','Cuyahoga Falls','5'
'Walgreens','2280 Las Vegas Blvd N','North Las Vegas','5'
'The Vitamin Shoppe','10010 W McDowell Rd','Avondale','5'
'Cvs Pharmacy','9172 W Union Hills Dr','Peoria','5'
'Parkdale Guardian Drugs','1488 Queen Street W','Toronto','5'
'Sarouja Pharmacy','3570 S Val Vista Dr Ste 108','Gilbert','5'
'Fry's & Fry's Marketplace','1575 N Dysart Rd','Avondale','5'
'Cvs','11430 N Tryon St','Charlotte','5'
'Cvs Pharmacy','5100 Beatties Ford Rd','Charlotte','5'
'Harris Teeter','7715 Regency Lake Dr','Huntersville','5'
'Shoppers Drug Mart','2901 Sheppard Ave East','Toronto','5'
'Apple Pharmacy','65 Dalry Rd','Edinburgh','5'
'Smith's','8555 W Sahara Ave','Las Vegas','49'
'Fry's Food & Drug','7628A E Indian School Rd','Scottsdale','48'
'Albertsons','4800 Blue Diamond Rd','Las Vegas','48'
'Melrose Pharmacy','706 W Montecito Ave','Phoenix','42'
'Walmart Supercenter','7735 N Tryon St','Charlotte','42'
'Target Stores','8055 W Bell Rd','Peoria','42'
'Cvs Pharmacy','7285 S Durango Dr','Las Vegas','42'
'Harris Teeter','6701 Morrison Blvd','Charlotte','41'
'Vons','2511 Anthem Village Dr','Henderson','41'
'Albertsons','2785 N Scottsdale Rd','Scottsdale','40'
'Fry's','1845 E Baseline Rd','Gilbert','40'
'Premier Pharmacy and Wellness Center','3010 Monroe Rd Ste 101','Charlotte','4'
'Walgreens','10825 E Baseline Rd','Mesa','4'
'CVS Pharmacy','2011 E Lake Mead Blvd','North Las Vegas','4'
'Walgreens','9432 Mt Holly-Huntersville Rd','Huntersville','4'
'Marc's Stores','35901 Detroit Rd','Avon','4'
'Food City #26 United Drugs','1005 N Arizona Avenue','Chandler','4'
'CVS Pharmacy','610 Wood St','Pittsburgh','4'
'Walgreens','6802 W Wilkinson Blvd','Belmont','4'
'Shoppers Drug Mart','700 Burnhamthorpe Road E','Mississauga','4'
'W King & Son','142 Marchmont Road','Edinburgh','4'
'Cvs','12409 N Tatum Blvd','Phoenix','4'
'Shoppers Drug Mart','10800 Bayview Ave','Richmond Hill','4'
'Evergreen Drugs','10001 South Eastern Avenue Suite 105','Henderson','4'
'Rite Aid','617 Highland St','Mount Holly','4'
'Rite Aid','1000 Airport Blvd','Pittsburgh','4'
'Shopko','2101 W Broadway','Monona','4'
'CVS Pharmacy','1890 N Ridge Rd','Painesville','4'
'Shoppers Drug Mart','5845 Yonge Street','Toronto','4'
'Shoppers Drug Mart','725 College Street','Toronto','4'
'Walgreens','8310 W Deer Valley Rd','Peoria','4'
'Walgreens','275 Davison Dr','Sun Prairie','4'
'Haber's Rosedale Pharmacy','600 Sherbourne Street','Toronto','4'
'Walgreens','1716 Pleasant Rd','Fort Mill','4'
'Cvs Pharmacy','19505 N Sunrise Blvd','Surprise','4'
'Walgreens','7606 S 7Th St','Phoenix','4'
'Shoppers Drug Mart','500 King Street W','Toronto','4'
'Harris Teeter','10616 Providence Rd','Charlotte','4'
'Rexall Pharma Plus','2300 Yonge Street','Toronto','4'
'Cvs Pharmacy','16715 Old Statesvil','Huntersville','4'
'Walgreens','7337 N Via Paseo Del Sur','Scottsdale','4'
'Rite Aid','4215 Providence Rd','Charlotte','4'
'Bi-Lo','2601 S New Hope Rd','Gastonia','4'
'Shopper's Drug Mart','Holland Drive','Bradford West Gwillimbury','4'
'Giant Eagle','870 N Ct St','Medina','4'
'Guardian Pharmacy','137 Roncesvalles Avenue','Toronto','4'
'Rosy's Pharmacy','7828 N 12th St','Phoenix','4'
'Cvs/Pharmacy','429 Smithfield St','Pittsburgh','4'
'Shoppers Drug Mart','3737 Major Mackenzie Drive Building E','Woodbridge','4'
'Walgreens','7455 W Peoria Ave','Peoria','4'
'Lloyds Pharmacy','7-9 Deanhaugh Street','Edinburgh','4'
'Target Pharmacy','4100 Blue Diamond Rd','Las Vegas','4'
'Phoenix Pharmacy','1701 East Thomas Rd Ste 105','Phoenix','4'
'Cvs Pharmacy','6650 W Lower Buckeye Rd','Phoenix','4'
'CVS Pharmacy','3933 E Camelback Rd','Phoenix','4'
'Shoppers Drug Mart','25 Great Lakes Dr','Brampton','4'
'Cvs Pharmacy','2809 S Sossaman Rd','Mesa','4'
'Cvs Pharmacy','305 E Brown Rd','Mesa','4'
'CVS','500 S Water St','Kent','4'
'Fortuna','LΓ¶ffelstr. 5','Stuttgart','4'
'Genrich Pharmacy','333 E Virginia Ave Ste 120','Phoenix','4'
'Bloor West Village Pharmacy','2262 Bloor Street W','Toronto','4'
'Marc's Stores','2753 W Market St Fairlawn Town Center','Fairlawn','4'
'Dm-drogerie Markt','HauptstΓ¤tter Str. 149','Stuttgart','4'
'Giant Eagle','6079 Andrews Rd','Mentor On the Lake','4'
'Rite Aid','1701 Duncan Ave','Allison Park','4'
'Shoppers Drug Mart','2440 Dundas Street W','Toronto','4'
'Shoppers Drug Mart','1720 Bur Oak Ave','Markham','4'
'Rexall','600 University Avenue','Toronto','4'
'Walmart Supercenter','14111 N Prasada Gateway Ave','Surprise','39'
'Walmart Neighborhood Market','10440 W Cheyenne Ave','Las Vegas','38'
'Smith's','6855 Aliante Pkwy','North Las Vegas','37'
'Target Stores','2727 W Agua Fria Fwy','Phoenix','37'
'Albertsons','7975 Blue Diamond Rd','Las Vegas','36'
'Walmart Neighborhood Market','6310 W Charleston Blvd','Las Vegas','34'
'Harris Teeter','15007 John J Delaney Dr','Charlotte','33'
'Walgreens','9415 W Desert Inn Rd','Las Vegas','32'
'CVS Pharmacy','7552 E Indian School Rd','Scottsdale','31'
'Walgreens','8500 W Cheyenne Ave','Las Vegas','30'
'Hieber's Pharmacy','3500 Fifth Ave','Pittsburgh','3'
'Cvs Pharmacy','5703 Steubenville Pike','Mc Kees Rocks','3'
'Cigna','9069 W Thunderbird Rd','Sun City','3'
'Shoppers Drug Mart','9275 Bayview Ave','Richmond Hill','3'
'Hooper's Pharmacy','1011 Upper Middle Road E','Oakville','3'
'Shoppers Drug Mart','1507 Yonge Street','Toronto','3'
'CVS Pharmacy','4307 Wilgrove Mint Hill Rd','Mint Hill','3'
'Walgreens','1401 Business 18 And 151 E','Mount Horeb','3'
'Cvs Store','990 E Warner Rd','Chandler','3'
'CVS Pharmacy','28700 Chardon Rd','Wickliffe','3'
'ASP Cares','501 S Rancho Dr Ste G46','Las Vegas','3'
'CVS Pharmacy','5835 W Indian School Rd','Phoenix','3'
'Cvs','39510 N Gavilan Peak Pkwy','Anthem','3'
'Trillium Drug Mart','817 Browns Line','Etobicoke','3'
'Rite Aid','5100 Library Rd','Bethel Park','3'
'Walmart Supercenter','223 N Myrtle School Rd','Gastonia','3'
'CVS Pharmacy','8491 Farm Rd','Las Vegas','3'
'Cvs Pharmacy','9715 S Maryland Pkwy','Las Vegas','3'
'Walgreens','420 S Sossaman Rd','Mesa','3'
'Marc's Stores','5929 Andrews Rd','Mentor-on-the-Lake','3'
'Asti's South Hills Pharmacy','250 Mt Lebanon Boulevard','Pittsburgh','3'
'Food City','115 E Dunlap Ave','Phoenix','3'
'Cvs Pharmacy','3870 Washington Rd','Canonsburg','3'
'Rite Aid','209 Atwood St','Pittsburgh','3'
'CVS Pharmacy','4460 Mayfield Rd','Cleveland','3'
'Wilson's Pharmacy','4101 Penn Ave','Pittsburgh','3'
'Shoppers Drug Mart','Scarborough Town Centre 300 Borough Drive','Toronto','3'
'Shoppers Drug Mart','1 Kennedy Road S','Brampton','3'
'Safeway Pharmacy','5137 E Baseline Rd','Gilbert','3'
'Shoppers Drug Mart','700 Bay Street','Toronto','3'
'Aetna','7720 N 16th St Ste 400','Phoenix','3'
'Safeway Pharmacy','10926 W Bell Rd','Sun City','3'
'CVS Pharmacy','5783 Darrow Rd','Hudson','3'
'High Park Pharmacy','1938 Bloor Street W','Toronto','3'
'Walgreens','14815 Madison Ave','Lakewood','3'
'Boots','48 Shandwick Place','Edinburgh','3'
'Greendale Drugs','152 Carlton Street','Toronto','3'
'Cvs Front Store','6416 Rea Rd','Charlotte','3'
'Refill Pharmacy','8536 Del Webb Blvd','Las Vegas','3'
'CVS/pharmacy','22909 Emery Rd','Cleveland','3'
'Harris Teeter','3350 Robinwood Rd','Gastonia','3'
'CVS Pharmacy','6015 E Brown Rd','Mesa','3'
'Walgreens','19980 W 130th St','Strongsville','3'
'Harrisburg's Hometown Pharmacy','5006 Hwy 49 S','Harrisburg','3'
'CVS Pharmacy','11240 Perry Hwy','Wexford','3'
'Target','550 Grandview Crossing Dr','Gibsonia','3'
'Shoppers Drug Mart','620 Keele Street','Toronto','3'
'Cvs Pharmacy','12409 N Tatum Blvd','Phoenix','3'
'The Medicine Shoppe','725 W Ingomar Rd','Ingomar','3'
'Cvs Pharmacy','2035 N Sharon Amity Rd','Charlotte','3'
'Woodgreen Discount Pharmacy','909 Queen Street E','Toronto','3'
'Bloor Sherbourne Pharmacy','608 Sherbourne Street','Toronto','3'
'The Medicine Shoppe','20 Bailey Ave','Mt. Washington','3'
'Jean Coutu','1370 Mont-Royal Av E','MontrΓ©al','3'
'Village Pharmacy','225 Lakeshore Rd E','Mississauga','3'
'Colonial Pharmacy','1915 North Cleveland-Massillon Road','Bath','3'
'CVS Pharmacy','2325 Village Lake Dr','Charlotte','3'
'Jeffreys Drug Store','1 N Central Ave','Canonsburg','3'
'Kingsway Drugs','154 Cumberland St','Toronto','3'
'Medical Center Pharmacy','515 Cox Rd','Gastonia','3'
'Valley of the Sun Pharmacy','15600 N Black Canyon Hwy Ste B135','Phoenix','3'
'Rexall Pharma Plus','523 Maple Grove Dr','Oakville','3'
'Rexall','250 University Avenue','Toronto','3'
'Shoppers Drug Mart','1601 Bayview Avenue','Toronto','3'
'Rexall','88 Queens Quay W','Toronto','3'
'Rexall','2409 Dufferin St','Toronto','3'
'Rexall Pharma Plus','3900 Rutherford Road','Woodbridge','3'
'Walgreens','6820 W Ann Rd','Las Vegas','3'
'Superdrug','144 Lothian Road','Edinburgh','3'
'Giant Eagle','200 Allegheny River Blvd','Verona','3'
'CVS Pharmacy','1775 Golden Mile Hwy','Monroeville','3'
'Walgreens','25524 Center Ridge Rd','Westlake','3'
'Target','9669 Mentor Ave','Mentor','3'
'Fry's','3246 E Bell Rd','Phoenix','3'
'Rite Aid','1233 Som Ctr Rd','Mayfield Heights','3'
'CVS Pharmacy','9040 Mentor Ave','Mentor','3'
'Apotheke 55','Schwabstr. 55','Stuttgart','3'
'Giant Eagle','4007 Washington Rd','McMurray','3'
'CVS Pharmacy','20641 Fairmount Blvd','Cleveland','3'
'Walgreens','9800 S Estrella Pkwy','Goodyear','3'
'CVS Pharmacy','1015 E Ray Rd','Chandler','3'
'Walker Drugs','8145 Ardrey Kell Rd','Charlotte','3'
'Walgreens','9233 E Guadalupe Rd','Mesa','3'
'Avella Specialty Pharmacy','17612 N 59th Ave','Glendale','3'
'Cvs Pharmacy','9308 Kendall Dr','Charlotte','3'
'McCarran Medical Clinic & Pharmacy','5757 Wayne Newton Blvd 2nd Fl Terminal 1','Las Vegas','3'
'Cvs Store 2877','14600 Lawyers Rd','Matthews','3'
'Neil's Compounding Pharmacy','9801 Kincey Ave Ste 155','Huntersville','3'
'Walmart Supercenter','1830 Galleria Blvd','Charlotte','29'
'Walgreens','1500 S Boulder Hwy','Henderson','29'
'Fry's Food & Drug Stores & Fry's Marketplace','2727 W Bell Rd','Phoenix','28'
'CVS Pharmacy','3210 E Union Hills Dr','Phoenix','27'
'CVS Pharmacy','7295 S Rainbow Blvd','Las Vegas','27'
'CVS Pharmacy','2830 Bicentennial Pkwy','Henderson','26'
'Walmart Supercenter','34399 N Cave Creek Rd','Cave Creek','26'
'Target Stores','3931 S Gilbert Rd','Gilbert','25'
'Albertsons','5040 W Cactus Rd','Glendale','25'
'CVS Pharmacy','1525 N Central Ave','Phoenix','25'
'Sam's Club','1459 N Dysart Rd','Avondale','25'
'Harris Teeter','8600 University City Blvd','Charlotte','24'
'Fry'S Marketplace','985 E Riggs Rd','Chandler','24'
'CVS Pharmacy','3645 S Las Vegas Blvd','Las Vegas','23'
'CVS Pharmacy','3290 S Fort Apache Rd','Las Vegas','23'
'Fry's Marketplace','2929 E Ocotillo Rd','Chandler','22'
'Fry's Marketplace','8900 E Via Linda','Scottsdale','22'
'Walmart Supercenter','2151 Royal Ave','Monona','22'
'Cvs Pharmacy','6432 Losee Rd','North Las Vegas','22'
'CVS Pharmacy','1533 South Blvd','Charlotte','22'
'Fry's Food Stores','2075 N Alma School Rd','Chandler','21'
'Albertsons','1951 W Baseline','Mesa','21'
'Fry's Food & Drug','6321 E Greenway Rd','Scottsdale','21'
'Rightsource-Humana Pharmacy','4302 W Buckeye Rd Ste 109','Phoenix','21'
'CVS Pharmacy','210 E Trade St E-186','Charlotte','21'
'CVS Pharmacy','1235 Pecan Ave','Charlotte','21'
'Walgreens','6101 W Lake Mead Blvd','Las Vegas','20'
'Harris Teeter','8445 Davis Lake Pkwy','Charlotte','20'
'Albertsons','8035 N 19th Ave','Phoenix','20'
'Walmart Supercenter','11145 Bryton Town Center Dr','Huntersville','20'
'CVS Pharmacy','1551 W Sunset Blvd','Henderson','20'
'Cvs Pharmacy','3550 W Sahara Ave','Las Vegas','20'
'Safeway Food & Drug','4857 E Greenway Rd','Scottsdale','20'
'Fry's Food & Drug Stores & Fry's Marketplace','5116 W Olive Ave','Glendale','19'
'Cvs Pharmacy','4755 W Ann Rd','North Las Vegas','19'
'Walgreens','785 S Cooper Rd','Gilbert','19'
'Fry's Food Store','8375 W Deer Valley Rd','Peoria','19'
'Solutions Specialty Pharmacy','8579 S Eastern Ave Ste B','Las Vegas','19'
'Safeway Food & Drug','6202 S 16th St','Phoenix','19'
'Cvs Pharmacy','10515 Mallard Creek Rd','Charlotte','18'
'Walgreens','3397 S Las Vegas Blvd Ste 1','Las Vegas','18'
'Walgreens','1975 S Alma School Rd','Chandler','18'
'Harris Teeter','4101 Park Rd','Charlotte','18'
'Shoppers Drug Mart','5576 Yonge Street','North York','18'
'Cvs Pharmacy','2662 W Horizon Ridge Pkwy','Henderson','18'
'CVS Pharmacy','5975 W Chandler Blvd','Chandler','18'
'Walgreens','10135 E Via Linda','Scottsdale','17'
'Walmart','2200 Washington Pike','Carnegie','17'
'Publix','12810 S Tryon St','Charlotte','17'
'Cvs Pharmacy','60 N Valle Verde Dr','Henderson','17'
'Frys Store','7770 E McDowell Rd','Scottsdale','17'
'Cvs Pharmacy','10010 N Scottsdale Rd','Paradise Valley','17'
'Fry's Food Stores of Arizona','15510 W Bell Rd','Surprise','17'
'Target','6150 Bayfield Pkwy','Concord','17'
'Fry's Food & Drug','6625 W Happy Valley Rd','Glendale','17'
'Cvs Pharmacy','765 S Lindsay Rd','Gilbert','16'
'Walgreens','6390 Boulder Hwy','Las Vegas','16'
'Fry's Food and Drug','4815 E Carefree Hwy Ste 100','Cave Creek','16'
'Walgreens','9305 S Eastern Ave','Las Vegas','16'
'Fairmont Pharmacy','5068 N Central Ave','Phoenix','16'
'CVS','4657 E Chandler Blvd','Phoenix','16'
'Giant Eagle','24601 Chagrin Blvd','Cleveland','16'
'Shoppers Drug Mart','1500 Woodbine Ave E','Toronto','16'
'Albertsons','8454 S Power Rd','Gilbert','16'
'Walmart Supercenter','4141 Pearl Rd','Medina','15'
'Walmart Neighborhood Market','5545 Simmons St','North Las Vegas','15'
'NewSpring Pharmacy','10750 W McDowell Rd C-301','Avondale','15'
'Harris Teeter','9900 Poplar Tent Rd Ste 124','Concord','15'
'Bashas'','7586 W Thunderbird Rd','Peoria','15'
'CVS Pharmacy','1625 N 44th St','Phoenix','15'
'Avella Specialty Pharmacy','701 Shadow Ln Ste 110','Las Vegas','15'
'Fry's Food & Drug Stores & Fry's Marketplace','850 E Hatcher Rd','Phoenix','15'
'Giant Eagle','155 Towne Centre Dr','Wexford','15'
'Walgreens','21632 N 35Th Ave','Glendale','14'
'Giant Eagle','600 Townesquare Way','Pittsburgh','14'
'Safeway Food & Drug','5137 E Baseline Rd','Gilbert','14'
'Cvs Pharmacy','3655 W Craig Rd','North Las Vegas','14'
'Walgreens','601 S Green Valley Pkwy','Henderson','14'
'CVS','5985 W Tropicana Ave','Las Vegas','14'
'Walgreens','5975 W Ray Rd','Chandler','14'
'Cvs Pharmacy','1408 W Craig Rd','North Las Vegas','14'
'Cvs Pharmacy','2840 N Dysart Rd','Goodyear','14'
'Cvs Pharmacy','9100 W Sahara Ave','Las Vegas','14'
'Harris Teeter','3540 Mt Holly-Huntersville Rd','Charlotte','14'
'Albertsons','861 E Warner Rd','Gilbert','13'
'Shoppers Drug Mart','523 St Clair Ave W','Toronto','13'
'CVS Pharmacy','1212 S Greenfield Rd','Mesa','13'
'Walgreens','6435 Aliante Pkwy','North Las Vegas','13'
'CVS Pharmacy','3810 E Sunset Rd','Las Vegas','13'
'Superdrug','83 Princes Street','Edinburgh','13'
'Walmart Supercenter','1607 W Bethany Home Rd','Phoenix','127'
'Foothills Professional Pharmacy','4545 E Chandler Blvd Ste 100','Phoenix','12'
'Cvs Pharmacy','2594 Wigwam Pkwy','Henderson','12'
'Shoppers Drug Mart','125 The Queensway','Etobicoke','12'
'Fry's Food and Drug','14845 E Shea Blvd','Fountain Hills','12'
'CVS Pharmacy','11706 Clifton Blvd','Cleveland','12'
'Women's International Pharmacy','2 Marsh Ct','Madison','12'
'Fry's Food & Drug Stores & Fry's Marketplace','3421 W Thunderbird Rd','Phoenix','12'
'Walgreens','1451 N Dysart Rd','Avondale','11'
'CVS Pharmacy','4430 E Ray Rd','Phoenix','11'
'Food 4 Less','3250 E Flamingo Rd','Las Vegas','11'
'Smith's','3013 W Craig Rd','North Las Vegas','11'
'CVS Pharmacy','4742 E Indian School Rd','Phoenix','11'
'Bi-Lo','9101 Pineville Matthws Rd','Pineville','11'
'Walgreens','4710 E Rose Garden Ln','Phoenix','11'
'Target  Pharmacy','32351 N Scottsdale Rd','Scottsdale','11'
'Kmart','8701 W Mcdowell','Tolleson','11'
'Phoenix Pharmacy','6096 S Fort Apache Rd','Las Vegas','11'
'Fry's & Fry's Marketplace','4440 E Main St','Mesa','11'
'Cvs Pharmacy','3990 W Ray Rd','Chandler','11'
'Giant Eagle','31990 Walker Rd','Avon Lake','11'
'Walgreens','1925 W Chandler Blvd','Chandler','11'
'Cvs Pharmacy','8332 W Thunderbird Rd','Peoria','11'
'Shoppers Drug Mart','524 Queen St W','Toronto','10'
'Cvs Pharmacy','21001 N Tatum Blvd Ste 82','Phoenix','10'
'Shoppers Drug Mart','236 Bloor St W','Toronto','10'
'Fry's Food and Drug','29455 N Cavecreek Rd','Phoenix','10'
'Albertsons-Osco','15660 N Frank Lloyd Wright Blvd','Scottsdale','10'
'Target Stores','7409 W Virginia Ave','Phoenix','10'
'Walgreens','4875 E Elliot Rd','Phoenix','10'
'Walgreens','6495 N Decatur Blvd','Las Vegas','10'
'Harris Teeter','4821 Berewick Town Ctr','Charlotte','10'
'Harris Teeter','3333 Pineville-Matthews Rd','Charlotte','10'
'Walgreens','101 S Tryon St Ste 22','Charlotte','10'
'Walgreens','8816 E Pinnacle Peak Rd','Scottsdale','10'
'Cvs Pharmacy','13870 W Greenway Rd','Surprise','10'
432 rows selected (1.239 seconds)
