Saving all output to "/home/user12/USER12Q3.csv". Enter "record" with no arguments to stop it.
'REVIEWCOUNTSUM','CATEGORIES'
'10','Cosmetics & Beauty Supply'
'4','Counseling & Mental Health'
'1','Countertop Installation'
'6','Couriers & Delivery Services'
'3','Cremation Services'
'4','Criminal Defense Law'
'2','Cycling Classes'
'6','DJs'
'6','DUI Law'
'27','Damage Restoration'
'1','Dance Clubs'
'1','Dance Studios'
'10','Day Spas'
'1','Debt Relief Services'
'1','Decks & Railing'
'2','Delis'
'3','Demolition Services'
'7','Department Stores'
'1','Departments of Motor Vehicles'
'7','Desserts'
'1','Diagnostic Services'
'39','Diners'
'10','Discount Store'
'5','Dive Bars'
'1','Diving'
'2','Divorce & Family Law'
'1','Do-It-Yourself Food'
'15','Doctors'
'7','Dog Walkers'
'17','Donuts'
'8','Door Sales/Installation'
'1','Doulas'
'1','Driving Schools'
'40','Drugstores'
'7','Dry Cleaning & Laundry'
'3','Drywall Installation & Repair'
'1','EV Charging Stations'
'1','Editorial Services'
'9','Education'
'2','Educational Services'
'1','Elder Care Planning'
'15','Electricians'
'10','Electronics'
'2','Electronics Repair'
'5','Emergency Pet Hospital'
'6','Emergency Rooms'
'1','Employment Agencies'
'1','Employment Law'
'2','Environmental Abatement'
'1','Estate Planning Law'
'11','Event Photography'
'421','Event Planning & Services'
'1','Eyebrow Services'
'1','Family Practice'
'12','Fashion'
'107','Fast Food'
'5','Fences & Gates'
'14','Financial Services'
'2','Fire Protection Services'
'1','Firearm Training'
'1','Fireplace Services'
'56','Fitness & Instruction'
'3','Flight Instruction'
'8','Flooring'
'1','Florists'
'7','Flowers & Gifts'
'215','Food'
'3','Food Court'
'2','Food Delivery Services'
'2','Food Stands'
'2','Food Tours'
'3','Food Trucks'
'1','French'
'13','Funeral Services & Cemeteries'
'1','Furniture Repair'
'1','Furniture Reupholstery'
'23','Garage Door Services'
'3','Gardeners'
'79','Gas Stations'
'3','Gastropubs'
'2','Gay Bars'
'2','General Dentistry'
'2','General Litigation'
'3','Generator Installation/Repair'
'2','Glass & Mirrors'
'2','Gluten-Free'
'2','Golf'
'3','Graphic Design'
'2','Greek'
'60','Grocery'
'2','Guest Houses'
'2','Gutter Services'
'45','Gyms'
'5','Hair Extensions'
'5','Hair Salons'
'7','Hair Stylists'
'2','Halal'
'6','Handyman'
'1','Hardware Stores'
'83','Health & Medical'
'1','Health Retreats'
'93','Heating & Air Conditioning/HVAC'
'1','Hiking'
'1','Historical Tours'
'11','Home & Garden'
'1','Home & Rental Insurance'
'3','Home Automation'
'20','Home Cleaning'
'2','Home Decor'
'2','Home Energy Auditors'
'9','Home Health Care'
'5','Home Inspectors'
'2','Home Organization'
'369','Home Services'
'2','Home Theatre Installation'
'1','Horse Boarding'
'9','Hospice'
'32','Hospitals'
'2','Hostels'
'1','Hot Dogs'
'1','Hot Tub & Pool'
'338','Hotels'
'403','Hotels & Travel'
'3','Hydro-jetting'
'6','IT Services & Computer Repair'
'2','IV Hydration'
'3','Ice Cream & Frozen Yogurt'
'1','Immigration Law'
'1','Insulation Installation'
'2','Insurance'
'1','Interior Design'
'1','Internet Cafes'
'1','Internet Service Providers'
'2','Investing'
'1','Irish'
'1','Irish Pub'
'2','Irrigation'
'2','Italian'
'1','Jewelry'
'6','Juice Bars & Smoothies'
'1','Junk Removal & Hauling'
'2','Karaoke'
'37','Keys & Locksmiths'
'1','Kitchen & Bath'
'1','Kitchen Incubators'
'2','Korean'
'1','Lactation Services'
'1','Landmarks & Historical Buildings'
'1','Landscape Architects'
'6','Landscaping'
'2','Latin American'
'2','Laundromat'
'6','Laundry Services'
'16','Lawyers'
'2','Legal Services'
'2','Life Coach'
'6','Lighting Fixtures & Equipment'
'32','Limos'
'1','Lingerie'
'2','Local Flavor'
'131','Local Services'
'14','Lounges'
'1','Magicians'
'12','Makeup Artists'
'2','Marketing'
'1','Masonry/Concrete'
'1','Mass Media'
'2','Massage'
'2','Massage Therapy'
'2','Mattresses'
'13','Medical Centers'
'2','Medical Transportation'
'2','Mediterranean'
'2','Men's Hair Salons'
'2','Metal Fabricators'
'41','Mexican'
'2','Midwives'
'1','Mobile Dent Repair'
'2','Mobile Phone Repair'
'11','Mobile Phones'
'1','Moroccan'
'3','Mortgage Brokers'
'3','Mortuary Services'
'12','Movers'
'4','Music Venues'
'1','Musical Instrument Services'
'1','Musical Instruments & Teachers'
'1','Musicians'
'2','Na'
'1','Nanny Services'
'1','Naturopathic/Holistic'
'76','Nightlife'
'4','Notaries'
'1','Nurseries & Gardening'
'2','Nutritionists'
'2','Obstetricians & Gynecologists'
'3','Occupational Therapy'
'7','Office Cleaning'
'5','Officiants'
'1','Oil Change Stations'
'1','Ophthalmologists'
'1','Organic Stores'
'3','Packing Services'
'6','Painters'
'1','Pakistani'
'5','Parking'
'5','Parks'
'14','Party & Event Planning'
'6','Party Bus Rentals'
'4','Party Equipment Rentals'
'1','Party Supplies'
'3','Performing Arts'
'1','Persian/Iranian'
'3','Personal Care Services'
'6','Personal Injury Law'
'22','Pest Control'
'2','Pet Boarding'
'1','Pet Breeders'
'2','Pet Groomers'
'1','Pet Hospice'
'1','Pet Photography'
'14','Pet Services'
'11','Pet Sitting'
'3','Pet Stores'
'1','Pet Training'
'2','Pet Transportation'
'27','Pets'
'5','Pharmacy'
'5','Photo Booth Rentals'
'16','Photographers'
'9','Photography Stores & Services'
'2','Physical Therapy'
'2','Piercing'
'2','Pilates'
'9','Pizza'
'82','Plumbing'
'2','Pool & Hot Tub Service'
'1','Pool Cleaners'
'1','Poutineries'
'1','Preschools'
'3','Pressure Washers'
'2','Printing Services'
'4','Private Investigation'
'53','Professional Services'
'2','Property Management'
'1','Psychiatrists'
'1','Public Adjusters'
'4','Public Services & Government'
'4','Public Transportation'
'13','Pubs'
'1','RV Parks'
'1','RV Rental'
'1','RV Repair'
'39','Real Estate'
'16','Real Estate Agents'
'11','Real Estate Services'
'1','Recreation Centers'
'12','Rehabilitation Center'
'1','Reiki'
'2','Religious Organizations'
'25','Resorts'
'300','Restaurants'
'11','Retirement Homes'
'11','Roadside Assistance'
'1','Rock Climbing'
'5','Roofing'
'2','Safe Stores'
'3','Salad'
'34','Sandwiches'
'1','Scavenger Hunts'
'3','Seafood'
'5','Security Services'
'9','Security Systems'
'1','Self Storage'
'9','Septic Services'
'17','Session Photography'
'1','Shades & Blinds'
'2','Shared Office Spaces'
'1','Shipping Centers'
'1','Shoe Stores'
'80','Shopping'
'2','Shopping Centers'
'2','Skilled Nursing'
'1','Sleep Specialists'
'1','Smog Check Stations'
'1','Snow Removal'
'1','Social Clubs'
'1','Solar Installation'
'1','Soup'
'3','Specialty Food'
'2','Specialty Schools'
'1','Speech Therapists'
'2','Sporting Goods'
'20','Sports Bars'
'7','Sports Clubs'
'1','Spray Tanning'
'2','Steakhouses'
'1','Street Vendors'
'1','Striptease Dancers'
'1','Stucco Services'
'1','Supernatural Readings'
'1','Surgeons'
'1','Swimming Lessons/Schools'
'1','TV Mounting'
'2','Tacos'
'5','Tanning'
'2','Tanning Beds'
'1','Tattoo'
'29','Taxis'
'1','Telecommunications'
'1','Television Service Providers'
'1','Tennis'
'2','Tires'
'2','Title Loans'
'9','Tours'
'36','Towing'
'3','Town Car Service'
'1','Trailer Repair'
'39','Trainers'
'1','Transmission Repair'
'52','Transportation'
'3','Travel Services'
'5','Tree Services'
'1','Trivia Hosts'
'1','Turkish'
'1','Urgent Care'
'2','Used Car Dealers'
'6','Vacation Rentals'
'1','Vape Shops'
'1','Vegan'
'2','Vegetarian'
'1','Vehicle Shipping'
'75','Venues & Event Spaces'
'16','Veterinarians'
'3','Video/Film Production'
'2','Videographers'
'1','Videos & Video Game Rental'
'3','Vietnamese'
'2','Waffles'
'1','Water Delivery'
'37','Water Heater Installation/Repair'
'5','Water Purification Services'
'3','Waterproofing'
'3','Wedding Chapels'
'11','Wedding Planning'
'2','Weight Loss Centers'
'1','Well Drilling'
'1','Wholesalers'
'1','Wildlife Control'
'1','Wills'
'1','Window Washing'
'1','Windows Installation'
'4','Windshield Installation & Repair'
'2','Wine Bars'
'1','Wine Tours'
'2','Women's Clothing'
'1','Workers Compensation Law'
'2','Yoga'
459 rows selected (2.105 seconds)
