Saving all output to "/home/user12/USER12Q1.csv". Enter "record" with no arguments to stop it.
'NAME','STATE','STARS'
'Real Properties Management Group','NV','2.5'
'Primanti Bros.','PA','3.5'
'Silver State Carpet Cleaning','NV','1.0'
'Galaxie Electronics','PA','5.0'
'Guess','ON','4.0'
'Nacho Mobile Auto Repair','NV','4.5'
'Banana Peppers','PA','3.5'
'Cool Cat Auto Repair','AZ','5.0'
'Sun Prairie Suzuki Violin Lessons','WI','5.0'
'Tonyc Salon & Spa','ON','4.5'
'Lantana','NV','1.5'
'18 Degrees Neighborhood Grill','AZ','3.0'
'Coleman Tyler','AZ','2.5'
'GoodLife Vapes','ON','5.0'
'PT's','NV','3.5'
'Subway','IL','2.0'
'Morrell Park Apts','NV','4.0'
'China House','OH','3.5'
'La Cabosse d'Or','QC','4.0'
'Wong's Jr','AZ','3.5'
'Quality Chiropractic Injury & Rehab','NV','5.0'
'The Coffee Bean & Tea Leaf','NV','3.0'
'941 Saloon','PA','3.0'
'Mulberry Bar','ON','4.5'
'Fred Perry Authentic Shop','ON','4.5'
'Pizza Hut','ON','2.0'
'Mercer's Restaurant','AZ','4.0'
'Flaming Kitchen','ON','3.0'
'Ramen Ya Katana','NV','3.5'
'Travel Leaders','OH','4.5'
'Sandwich Box','ON','3.5'
'Tyler M. Christensen DDS','NV','4.5'
'PastaTivo','OH','3.0'
'Sport Clips Haircuts of Chandler','AZ','5.0'
'Ego Hair Design','HLD','3.5'
'Fair Oaks Nursery and Garden Center','WI','3.0'
'Enterprise Rent-A-Car','IL','3.0'
'Pizza Nova','ON','2.5'
'Academic Accolades','AZ','5.0'
'Leisure Lawn','NV','5.0'
'Dave's Music Mine','PA','3.5'
'Wesley Bolin Memorial Plaza','AZ','4.5'
'TRU Burger Company','AZ','4.0'
'Ana's Nail Boutique & Spa','ON','4.0'
'Toronto Public Library','ON','2.5'
'The Fry','ON','3.5'
'Las Vegas Super Spartan Race','NV','4.0'
'Al-Salam Market & Deli','NC','2.5'
'Catskill Auto Service','NV','5.0'
'The Independent','ON','4.5'
'Halibut House Fish & Chips','ON','3.0'
'Domino's Pizza','AZ','2.0'
'Harmony Hospice','NV','5.0'
'Tim Hortons','ON','2.0'
'Immaculate Mobile Wash & Detail','AZ','4.5'
'Bachelor Vegas','NV','5.0'
'La Maison Palette','OH','4.5'
'Game Seven Grill','AZ','2.0'
'McDonalds','NV','1.5'
'Best Western Inn','OH','3.5'
'Happy Sushi','ON','3.5'
'Wen H. Wang DDS','AZ','5.0'
'Nevada Title And Payday Loans','NV','1.0'
'Kidz Cuts By Lori','NV','5.0'
'Chennai Fusion Grill','AZ','3.5'
'Tea2go','AZ','4.5'
'Fabrique de Cacao 70','QC','3.5'
'Express Pizza & Grill','ON','3.0'
'J & B Carpets','AZ','4.0'
'Beauty Nails','ON','3.0'
'MX Locksmith','NV','5.0'
'Sandcastle Water Park','PA','3.0'
'Opus Glow Concept Spa','ON','2.5'
'Auto Action','AZ','2.5'
'Optical Effects Vision Center','NV','4.5'
'Philthy Philly's','ON','4.0'
'White Wings Pet-Sitting','NC','5.0'
'Cancun Resort Las Vegas by Diamond Resorts','NV','3.0'
'Fiesta Filipina Cuisine','NV','3.5'
'Eagle Crest Golf Course','NV','3.5'
'Avon Oaks Country Club','OH','4.0'
'AZ International Marketplace','AZ','3.5'
'Paradise Valley Florist','AZ','4.5'
'Dubliner','AZ','3.5'
'CafΓ© Allegro','AZ','3.5'
'Rent-a-Son','ON','4.0'
'Pretty Little Secrets Lash & Brow Bar','ON','5.0'
'URBAN JUNGLE FUN PARK Mesa','AZ','4.0'
'Subway','OH','3.5'
'Le Spot St-Denis','QC','3.5'
'Bath and Body Works','NV','3.5'
'Papa John's Pizza','AZ','2.5'
'Desert Dog Hummer Adventures','AZ','4.0'
'BCT Flooring and Showers','AZ','1.0'
'Rena Sposa Brautmode Stuttgart','BW','5.0'
'Journey Massage Therapy','AZ','5.0'
'UR Lube','ON','3.5'
'RΓ΄tisserie Benny & Co','QC','3.5'
'XPOSE Beauty Bar & Spray Tanning','AZ','5.0'
'Smile! Dental Center','PA','4.5'
'NFB Mediatheque','ON','4.5'
'S-Bahnhof Stuttgart-Vaihingen','BW','2.0'
'Dry Pro Foundation and Crawlspace Specialists','NC','4.5'
'Wendy's','OH','2.5'
'The Garden Grille & Bar','NC','3.5'
'Bruce Trent Park','NV','4.0'
'Improv Vegas','NV','5.0'
'Futuretel Service Centre','ON','3.5'
'Mark's','ON','3.0'
'U-Haul Neighborhood Dealer','NV','4.0'
'Bank of Arizona','AZ','3.5'
'Mister Vapor','ON','5.0'
'Navigate','ON','4.5'
'Ulta Beauty','PA','3.5'
'Pizza Joe's & Deli','OH','4.0'
'Beaumont Tire & Auto Repair','IL','4.5'
'Maids of Honor','AZ','4.5'
'Sacred Hour Wellness Spa','OH','5.0'
'Matt's Big Breakfast','AZ','3.5'
'Travelodge Phoenix Downtown','AZ','2.0'
'Rio Mirage Cafe Y Cantina','AZ','4.0'
'Performance Rehab Associates','NC','5.0'
'The Body Lab','AZ','4.0'
'Shoppers Drug Mart','ON','1.5'
'Maid 2 B Cleaned','AZ','4.5'
'Dirty Dog Cigar Shoppe','PA','5.0'
'Ted Wiens Tire & Auto','NV','3.5'
'Desert Hope Treatment Center','NV','3.0'
'Jimmy Johns','OH','2.0'
'Ino's Fashions','OH','1.0'
'Rite Aid','PA','2.5'
'BiodΓ΄me de MontrΓ©al','QC','3.5'
'Bavette's Steakhouse & Bar','NV','4.5'
'Cat's Cradle','ON','4.5'
'Bridal Fashion Debut','AZ','4.0'
'Pinnacle Fitness','AZ','5.0'
'Zonie Cuts','AZ','5.0'
'Subway','WI','3.5'
'La Tapatia Market','NV','5.0'
'Cricket Wireless Authorized Retailer','NV','2.5'
'Night Market Cleveland','OH','4.0'
'Takumi','QC','3.5'
'St James Dennis R Physical Therapy','AZ','5.0'
'Coffee Cup Family Restaurant','OH','3.5'
'Jose' and Tony's Mexican Restaurant','PA','2.5'
'Cluny Bistro & Boulangerie','ON','3.5'
'Romados','QC','4.0'
'Falbo Bros. Pizzeria','WI','3.5'
'Foothills Sports Medicine Physical Therapy','AZ','3.5'
'Smog Busters','NV','4.0'
'Wok Terminal','ON','3.0'
'Stecchino','QC','3.0'
'Culinary Pharmacy','NV','5.0'
'Restaurant Madagascar','BW','4.0'
'Mike Olbinski Photography','AZ','5.0'
'Payless Car Rental','QC','1.0'
'Steep & Brew West','WI','3.5'
'Takashi','QC','5.0'
'Politic','CHE','2.5'
'Wladislaw Fedoriw MD - Arizona Back Pain Institute','AZ','3.5'
'Freeman's Car Stereo','NC','3.5'
'Beach Bunny Swimwear','AZ','4.0'
'Sorrento Villas','NV','2.5'
'El-Tipico Ecuatoriano','ON','3.0'
'Horizon Safety Training','AZ','5.0'
'Don Tequila','OH','3.5'
'Nail Secrets','PA','4.0'
'Belleville Ale House','WI','3.5'
'Eric Andrew Collection At Town Square','NV','5.0'
'Eat-Sum-More','ON','3.5'
'Honn-Auto Repair','AZ','4.0'
'Jennuine Cakes & Cafe','PA','5.0'
'Davis Glass and Mirror','NV','4.0'
'Sekushi Japanese Restaurant','NV','4.0'
'L'Oeufrier NDG','QC','4.0'
'Miss Donna's School Of Dancing','NC','3.5'
'Rashers','ON','3.5'
'Ken Mitchell NMD RPh','AZ','5.0'
'U.S. Bank','AZ','4.0'
'Crossroads of the West Gun Show','AZ','1.5'
'Showtime Tours','NV','1.5'
'Jersey Mike's Subs','AZ','3.5'
'Alliance Urgent Care','AZ','2.5'
'Tacos Huicho','AZ','4.5'
'Scottsdale Air Heating & Cooling','AZ','4.5'
'Pussycat Club','BW','4.0'
'The UPS Store','AZ','3.5'
'Js Pest Control','NV','3.5'
'Adore Organic Innovation','NV','1.5'
'Jacksons Car Wash','AZ','2.0'
'Action Golf Cart Rentals and Sales','AZ','5.0'
'Conrad'sΒ Tire Express & Total CarΒ Care','OH','3.5'
'Deli 194','EDH','3.0'
'Anderson Preparatory Academy','AZ','4.5'
'Verizon','AZ','2.5'
'3 Guys Optical','PA','3.5'
'South Cove Apartments','NV','3.0'
'Lawngevity Landscape & Maintenance','NC','3.5'
'Taco Bell','AZ','3.0'
'Sunrise Caribbean Restaurant','ON','3.0'
'StΓ¤dtisches Lapidarium','BW','4.5'
'Rossetti Management & Realty Services','AZ','1.0'
'Pho King','ON','2.5'
'Gel-Q Nail & Spa','AZ','3.5'
'Boulangerie Arouch','QC','3.5'
'Mirage Grill & Lounge','ON','3.0'
'Centra Food Market','ON','3.0'
'Tienda Los Gemelos','WI','4.5'
'Just Fresh','NC','3.5'
'Local Pet','PA','5.0'
'New Wrap Order','NC','4.5'
'Cos Bar Scottsdale','AZ','3.0'
'Precision Air & Heating','AZ','2.5'
'Fancy Nails','OH','3.5'
'Fool','EDH','4.5'
'Smoke Bourbon Bar-B-Q House','ON','3.5'
'AT&T','NC','3.0'
'SAQ','QC','3.5'
'Presotea','ON','3.5'
'Tim Horton's','ON','3.0'
'Alamo Rent A Car','AZ','4.0'
'Manpasand Spice Corner','PA','4.0'
'August Moon Chinese Restaurant','ON','1.0'
'Summerhill Spa','ON','3.5'
'Men's Ultimate Grooming','AZ','4.0'
'StorQuest Self Storage','AZ','3.5'
'Amazing Las Vegas Comic Con','NV','4.0'
'Desi Dera','QC','2.5'
'KFC','ON','2.0'
'Skinny's Bar and Grill','OH','4.5'
'China Restaurant','NC','3.0'
'Posh Supper Club','ON','3.0'
'Subway','AZ','3.0'
'Your Way Auto Sale','AZ','3.0'
'Cloud Nine Wellness Spa','AZ','2.0'
'Style and Grace Barbershop','PA','5.0'
'Dunkin' Donuts','NY','1.0'
'Crown Town Subs','NC','4.0'
'Johnny Rockets','PA','2.0'
'Vanity Nail','OH','4.0'
'Now and Zen Massage Therapy','NV','5.0'
'Lindsey Gillies','EDH','2.5'
'Kay's Place','AZ','3.5'
'Cedarvale Ravine','ON','4.5'
'NutWhats','AZ','4.5'
'Maaco Collision Repair & Auto Painting','AZ','4.5'
'AL's Donuts','NV','2.5'
'The Residence at SouthPark','NC','4.0'
'Klondike','QC','2.0'
'Royal Biryani & Kabob','NC','3.5'
'Az Family Dentistry','AZ','5.0'
'Lucky Little Chapel','NV','5.0'
'I'm Board! Games & Family Fun','WI','5.0'
'The First Vegas Burn!-The Flames of Change','NV','4.5'
'Superstition Mountain Golf & Country Club','AZ','4.0'
'Rogue Toys','NV','4.5'
'Fineserve Blind Repair','AZ','3.5'
'Rosati's Pizza','AZ','3.5'
'Atlas Cinemas','OH','3.5'
'Delta Home Services','AZ','2.5'
'DeLex Realty','AZ','1.5'
'China Buffet','NY','2.5'
'The Dog Hut','WI','5.0'
'Caffe Nero','EDH','4.5'
'Indochino Custom Menswear','ON','3.0'
'Toronto Public Library - Palmerston Branch','ON','4.0'
'My Biz Niche','AZ','5.0'
'Choice Movers','AZ','5.0'
'Holiday Inn Express & Suites Charlotte NE - University Area','NC','4.0'
'The Treatment Room','AZ','5.0'
'Impressions Tile & Marble','NV','5.0'
'The Wine Room','OH','4.5'
'UYVU Nails & Spa','ON','5.0'
'Le Centre Sportif du Parc Olympique','QC','5.0'
'The Nite Owl Barber Shop','ON','4.5'
'Smart HVAC Repair','AZ','5.0'
'Tasteco Supermarket','ON','3.0'
'Barnardo's','EDH','3.5'
'Metro Bar & Brasserie','EDH','3.0'
'Donauschwaben's German-American Cultural Center','OH','4.5'
'Neubert Painting','OH','2.0'
'The Shoe Company','ON','3.0'
'Angels Carpet Care','NV','5.0'
'Restaurant Bohemia','QC','4.5'
'Michael Mina','NV','4.0'
'Charlie Murdoch's','PA','4.0'
'Nova Era Bakery & Pastry','ON','4.0'
'Gutierrez Window Tinting','AZ','5.0'
'Arizona Pools and Landscape','AZ','3.5'
'China King Chinese Restaurant','OH','3.0'
'Tlc Wash N Clean','AZ','4.5'
'SuperPawn','AZ','2.5'
'Vegas Uncork'd: The Grand Tasting','NV','4.0'
'Pinnacle Chiropractic','AZ','5.0'
'Cracker Barrel Old Country Store','OH','3.5'
'Fresh Start Liquidators','AZ','4.5'
'Willie Stouts','ON','3.5'
'Tune & Lube repair center','NV','5.0'
'GK's Vapor Pub','AZ','5.0'
'Riverbound Sports Stand Up Paddleboards','AZ','5.0'
'Kostial Robert J DDS','AZ','3.5'
'Maya New York Pizza Bar','AZ','3.0'
'Kingsway Theatre','ON','2.5'
'Waste Management','PA','2.0'
'Jeremy Mueller - State Farm Insurance Agent','AZ','5.0'
'Diamond Landscaping','PA','2.5'
'Romy S','BW','4.0'
'Carolina Ale House','NC','3.0'
'Pro-Tech Transmission and Complete Auto Repair','NV','4.5'
'Flowerama Las Vegas','NV','2.5'
'Xpand Realty & Property Management','NV','5.0'
'East Valley Dental Care','AZ','4.5'
'The House Brasserie','AZ','4.0'
'Marcy','ON','3.5'
'SpringHill Suites Scottsdale North','AZ','3.5'
'Makai Pacific Island Grill','NV','4.5'
'Carquest Auto Parts','NV','4.5'
'Apotheca Compounding Pharmacy','ON','5.0'
'Cordonnerie Jiji','QC','2.5'
'Planet Fitness - Brampton - Centennial Mall','ON','3.0'
'Paper Crane','ON','4.5'
'Assure Home Inspection','AZ','3.5'
'Pet Club - Gilbert','AZ','4.5'
'Veteran's Memorial Cemetery','NV','4.0'
'Nails Up Spa - Highland Creek','NC','2.5'
'Cody Randazzo-HealthMarkets','AZ','4.5'
'Lobos Landscaping','AZ','5.0'
'Herbal Beauty Esthetics','ON','2.0'
'Kind Family Dentistry','AZ','3.5'
'Toys and Playtime Oasis','AZ','4.0'
'Caffe Furbo','ON','4.0'
'Golf Anything Outlet','AZ','3.0'
'Jimmy John's','AZ','2.5'
'Sporting Life','ON','2.5'
'Vietnam House Art Gallery','EDH','5.0'
'All Valley Impound','AZ','1.0'
'ASU Surplus Property','AZ','3.5'
'$59 Rooter & Plumbing Service','AZ','5.0'
'La Mie Matinale','QC','4.5'
'Edible Arrangements','AZ','1.0'
'Holiday Inn Express Whitby Oshawa','ON','1.5'
'Walgreens','OH','3.0'
'The Foot Of The Walk','EDH','3.0'
'Umana Health','ON','5.0'
'BBQ Express','ON','4.5'
'Automatic  Garage Door Company','OH','5.0'
'Subway','AZ','3.0'
'Arizona Automotive Repair','AZ','5.0'
'Arizona Goldendoodles','AZ','5.0'
'Subway','AZ','4.0'
'Granada Lakes Apartments','AZ','2.5'
'Spelman Stephen W DDS FAGD','NV','5.0'
'H&M','ON','2.5'
'Taste Tea','NV','4.5'
'Allegheny Branch YMCA','PA','4.0'
'CrossFit Twinsburg','OH','5.0'
'Glendale Barber Shop','AZ','5.0'
'Perfumiya','AZ','4.5'
'Peachtree Mall','ON','3.0'
'Massis Auto Repair Service Inc','NV','4.5'
'First Class Limousine Service','PA','4.0'
'Viva PHX: A Downtown Music Festival','AZ','4.5'
'Barber Shop Styles','PA','5.0'
'H&M','PA','3.0'
'Firehouse Subs Mineral Point','WI','4.0'
'IGA  Alimentation Shnaidman & Pagano','QC','3.0'
'Royal 10 Cigar and Tobacco','OH','4.0'
'Vacworks','ON','3.5'
'NOA Nail Spa','NC','3.0'
'Law Office Of Cory Hilton','NV','1.0'
'PremiΓ¨re Moisson','QC','4.0'
'Taste Cafe','NC','3.0'
'NYX Ecigs','ON','4.0'
'Freeport Forwarding','NY','4.5'
'Mark Andrew Hair Studio','ON','5.0'
'Cars 2 Go','AZ','1.0'
'Econo Lodge Inn & Suites Airport','NC','2.5'
'Sierra Health and Life','NV','1.5'
'Ed's Tavern','NC','3.5'
'Bike Authority','OH','3.5'
'Tatum Ranch Barbershop','AZ','4.5'
'Covenant Child Care Center','AZ','4.0'
'Po' Boys Restaurant','IL','4.0'
'Nail Bar Spa Ballantyne','NC','2.5'
'New Fashion Shop','ON','3.5'
'V's Schnitzel House','ON','3.5'
'Madison No Fear Dentistry','WI','4.0'
'Same Day Service Carpet Care','AZ','4.0'
'Torontoism - Sotheby's International Realty Canada','ON','5.0'
'Comprehensive Cancer Centers of Nevada Central Valley','NV','3.5'
'Beauty By April Russell','AZ','5.0'
'AZ Smoke Shop','AZ','3.5'
'Berrybrook Farm Natural Foods','NC','4.0'
'Sky High Smoke Shop','AZ','4.0'
'Lowe's','OH','3.5'
'Carl's Jr.','AZ','2.5'
'LensCrafters','NV','3.0'
'A-1 National Fire Company','NV','5.0'
'Sam's Club Optical','NV','2.0'
'Sunset Marine Mobile Boat Repair Service','AZ','5.0'
'Tire Works Total Car Care','NV','2.5'
'Uncle Fish & Chips','EDH','2.5'
'ZM Cycle & Fitness','ON','3.5'
'Verdetto's Bar & Restaurant','PA','4.5'
'Western Towing','AZ','2.0'
'Fry's Food & Drug Stores & Fry's Marketplace','AZ','4.0'
'Gogh Paint','AZ','5.0'
'Leonidas','ON','4.0'
'Fitness Connection','NC','3.5'
'Scottsdale Town Car & SUV Transportation','AZ','3.5'
'Bastone Hardware','ON','4.5'
'IHOP','AZ','2.5'
'London Pub Company','ON','2.5'
'European Car Specialist','AZ','4.5'
'Shafa Medical Clinic','AZ','1.5'
'Taco Mich & Bar','AZ','3.5'
'Accord Realty','WI','3.5'
'Starbucks','NV','3.5'
'Village by the Grange','ON','3.5'
'Crazy Mocha','PA','4.0'
'Best Beauty Salon','NV','3.5'
'Little Sito','ON','4.0'
'Trudy's Taxes and Bookkeeping','AZ','5.0'
'Razno Renovation','ON','3.5'
'The Fox and Firkin','ON','3.0'
'America Donuts','NV','4.0'
'Yuu Beauty & Well Being','MLN','3.5'
'ShrimpFever','ON','5.0'
'Spudnut Shop Donuts','OH','4.0'
'Evolution Body Transformation','WI','3.5'
'Shade USA','AZ','2.5'
'Breezewood Gardens & Gifts','OH','3.5'
'Bank of America','AZ','2.0'
'Motel 6','IL','1.5'
'Sun Shade Window Tinting','NV','4.0'
'Daial Cycle & Sports','ON','5.0'
'Toyota of Surprise','AZ','4.0'
'Mesa Auction','AZ','3.0'
'Odd Finds General Store','ON','5.0'
'Davenport Garden Centre','ON','4.0'
'Davisville Medical Clinic','ON','1.0'
'Heavenly Scent Pro Cleaning Services','PA','4.0'
'Burreatos','BW','4.0'
'YUM Frozen Yogurt','PA','3.5'
'Neo-Paws International','ON','1.0'
'Shepherd's Crook','ON','3.0'
'Moments By Manda','AZ','3.5'
'Tijuana Tan','AZ','3.5'
'Small Bar Fort Mill','SC','4.0'
'CocoaLatte','ON','4.0'
'Estilo 5','NV','5.0'
'Park Side Pub','WI','4.0'
'T-Mobile','NV','3.0'
'Jud Carpenter','NV','5.0'
'Jake's Auto Repair Service','AZ','4.5'
'Renaissance Patisserie','NC','4.5'
'Brio Tuscan Grille','AZ','3.5'
'Perennials','AZ','5.0'
'Dogs Day Out','NC','4.0'
'Diamond's Beauty Bar','NC','2.5'
'Great Clips','AZ','3.5'
'Full of Beans Coffee House & Roastery','ON','4.0'
'Shichimi Sushi','ON','3.5'
'Sheraton Station Square Hotel','PA','1.5'
'Jobin Lave-Auto Enr','QC','2.0'
'Heritage Funeral Home Weddington Chapel','NC','4.5'
'Fit4Less','ON','3.5'
'Dillard's','AZ','3.5'
'East West Futons','ON','4.5'
'Green Earth Organics','ON','1.5'
'Bill Abbott Chevrolet Buick','IL','3.5'
'Frankenstein & Bier Keller','EDH','3.0'
'Parkwood Apartments','AZ','2.0'
'Sunshine Spa & Nails','ON','2.0'
'Joyride Taco House','AZ','4.0'
'Gnar Gnar Tours','AZ','5.0'
'MINISO','ON','3.5'
'Bespoke Inn and Bespoke Cycles','AZ','5.0'
'Watermill Express','AZ','2.0'
'Lee's Discount Liquor','NV','3.5'
'GingerHoney Skin Care','AZ','4.5'
'Ice Bar','NV','4.5'
'Hardee's','WI','3.0'
'Hair It Is & Nails Too','PA','5.0'
'WellHealth Women's Specialty Care','NV','3.0'
'MSK Automotive','PA','4.0'
'Green Beanery','ON','3.0'
'A Great Smile Dental','NV','4.5'
'Village Inn','AZ','3.0'
'Taziki's Mediterranean Cafe','NC','4.0'
'Mr Pide','ON','4.5'
'Risas Dental and Braces - Mesa','AZ','3.0'
'Xin Jiang Restaurant','ON','3.5'
'Taco Bell','AZ','2.5'
'Industry Public House','PA','3.5'
'Insight Wellness','NC','3.5'
'Sonic Drive-In','AZ','2.0'
'Which Wich','NC','3.5'
'La Main D'or','ON','3.5'
'Pokeman','NV','4.0'
'Pet Paradise - Matthews','NC','4.0'
'White Lily Diner','ON','4.5'
'Ivory Row Bridal','AZ','4.0'
'Heusteigviertel','BW','4.5'
'Pizza Taglio','PA','4.5'
'Scizzors At Signatures','AZ','4.5'
'Biggby Coffee','IL','4.0'
'BVIP Limousine Service Ltd','OH','3.5'
'Mattress Firm Silverstone','AZ','5.0'
'The Rigby Pub And Grill','WI','3.5'
'Buffalo Bill Wings','QC','1.5'
'QDOBA Mexican Eats','WI','4.0'
'Belmont Cleaners and Laundry','NC','2.0'
'Hotel Espresso','QC','2.5'
'Nine Stories','PA','4.5'
'Scarborotown Chrysler','ON','3.5'
'Noodles & Company','AZ','3.5'
'Craters & Freighters','NC','5.0'
'Reliance Complete Auto Repair','NV','5.0'
'Affordable Image','AZ','5.0'
'Not Just Coffee - 7th Street','NC','4.5'
'Ameritemps','AZ','1.0'
'Supercuts','AZ','4.5'
'Denver's Car Care','AZ','5.0'
'Palo Verde Lounge','AZ','4.0'
'Dignity Health AZ General Hospital Emergency Room - Mesa','AZ','2.5'
'Charley's Grilled Subs','OH','3.5'
'Driftwood Catering','OH','2.0'
'Mayo Clinic Primary Care','AZ','2.5'
'Enterprise Rent-A-Car','AZ','4.0'
'Extended Stay America - Scottsdale','AZ','2.0'
'Pizza Studio','ON','5.0'
'Lobby Bar','NV','2.5'
'Postal Connections','WI','4.0'
'PostNet','AZ','2.5'
'Liberty Nails','AZ','3.0'
'NextCare Urgent Care','AZ','3.0'
'Dependable Dental Services','OH','5.0'
'Amadeus Patisserie','ON','4.0'
'Rainbow Garden','IL','3.0'
'Continental Inn','NC','2.5'
'Level at Sixteenth by Mark-Taylor','AZ','3.5'
'Great Northern Mall','OH','3.0'
'Power Alarm Securities Systems','OH','3.5'
'Smokey's Tavern','PA','3.5'
'Jack Astor's Bar & Grill','QC','3.5'
'Bumper To Bumper Automotive','NV','5.0'
'Ineffable Ca Phe','PA','4.5'
'Lexy Marie','AZ','5.0'
'Music & Arts','AZ','3.0'
'La-Z-Boy Furniture Galleries','NC','1.5'
'Warrior Wraps','NV','4.5'
'Gold Pawn Brokers','AZ','5.0'
'Blue Canyon Kitchen & Tavern','OH','3.5'
'Montti Income Tax Service','NV','5.0'
'Carrabba's Italian Grill','NC','3.5'
'Pizzeria Villeray','QC','3.0'
'McDonald's','OH','1.0'
'Bra Boutique','NV','4.0'
'Nandini Indian Cuisine','AZ','4.0'
'Public House','OH','3.5'
'Batter's Box Baseball Cards & Stuff','AZ','5.0'
'Hey Spicy Hotpot','ON','2.5'
'Sin City Thai Restaurant','NV','3.5'
'DeLorme Studios','AZ','4.0'
'Juno Hair','IL','3.0'
'Panda Express','NV','3.5'
'The Butcher Block','NV','4.5'
'Relax Spa At Aliante','NV','3.5'
'Star Locksmith - Las Vegas','NV','1.0'
'Pizza Pizza','ON','2.5'
'Therapeutic Sole','AZ','5.0'
'LIK MANDALAY - Peter Lik Fine Art Photography','NV','4.0'
'Chick-fil-A','NC','4.0'
'OSS Orthopedic & Sports Specialists','AZ','5.0'
'57 Cals','QC','4.0'
'Szechuan Spice','ON','4.0'
'Be Fabulous Lash & Laser Clinic','ON','4.5'
'Med Boutique Medical and Laser Spa','NC','5.0'
'Red Rocks Cafe','NC','4.0'
'Plaisir Du Chocolat','EDH','4.0'
'Community Pharmacy','WI','4.5'
'All Pierogi Kitchen & Euro Market','AZ','4.5'
'Rockledge Fairways Apartments','AZ','2.5'
'Taco Bell','NV','2.5'
'Radisson Hotel','ON','2.0'
'Acme Pest Control','NC','3.5'
'Universal Truck Rental','ON','3.0'
'Express Title & Registration Motor Vehicle Services','AZ','2.5'
'Kens Masonry','AZ','4.0'
'Platt & Westby','AZ','4.5'
'Malik Edward J OD','NV','5.0'
'Porcelli's Italian Bistro','OH','3.0'
'Pro Nails Spa','SC','2.0'
'Tropical Smoothie Cafe','NV','2.0'
'Colby Cruiser','AZ','4.5'
'Mixxed Auto Design','AZ','4.5'
'StorageOne Durango & US 95','NV','5.0'
'PetSmart','ON','3.5'
'Ticor Title At Tivoli Village','NV','3.5'
'Filiberto's Mexican Food','AZ','2.5'
'Junior','QC','3.5'
