Saving all output to "/home/user12/USER12Q7.csv". Enter "record" with no arguments to stop it.
'NAME','NEIGHBORHOOD','ADDRESS','CITY','STATE','POSTALCODE','LATITUDE','LONGTITUDE','STARS','REVIEWCOUNT','ISOPEN','CATEGORIES'
'Parts & Labour','Parkdale','1566 Queen Street W','Toronto','ON','M6R 1A3','436.400.249','-7.944.047','3.5','146','1','Nightlife'
'Aloft Charlotte Uptown at the EpiCentre','Uptown','210 East Trade St','Charlotte','NC','28202','352.253.172','-808.424.885','3.0','125','1','Event Planning & Services'
'India Masala','The Strip','Riviera Hotel and Casino 2901 Las Vegas Blvd S','Las Vegas','NV','89109','361.253.966.874','-115.170.021.057','3.5','137','0','Indian'
'Five Guys','Oakland','117 S Bouquet St','Pittsburgh','PA','15213','40.442.277','-79.956.657','3.5','66','1','Fast Food'
'Earl's Grocery','Elizabeth','1609 Elizabeth Ave','Charlotte','NC','28204','35.213.641','-80.826.168','4.5','152','1','Caterers'
'Tacos Sahuaro','','2320 N 32nd St','Phoenix','AZ','85008','334.738.447','-1.120.132.073','4.5','207','1','Tacos'
'Pho Bosa','Chinatown','3711 S Valley View','Las Vegas','NV','89102','361.224.049.688','-115.190.958.381','4.0','588','1','Restaurants'
'Rock Bottom Restaurant & Brewery','Homestead','171 E Bridge St','Homestead','PA','15120','404.094.353','-799.152.619','3.0','187','1','Food'
'Harkins Theatres Fashion Square 7','','7014 E Camelback Rd','Scottsdale','AZ','85251','335.025.941','-1.119.296.765','3.0','46','0','Cinema'
'L'Orignal','Ville-Marie','479 Rue Saint-Alexis','MontrΓ©al','QC','H2Y 2N7','455.026.889','-735.581.625','4.0','201','1','French'
'Cumberland Terrace','Yorkville','2 Bloor Street W','Toronto','ON','M4W 1A7','436.704.832','-793.873.246','2.0','15','1','Shopping Centers'
'Target Stores','','3931 S Gilbert Rd','Gilbert','AZ','85297','332.790.255','-1.117.895.711','3.0','25','1','Drugstores'
'Federick Restaurant','Box Grove','160 New Delhi Drive Suite 25','Markham','ON','L3S 0B6','438.512.145','-792.533.541','4.0','140','1','Restaurants'
'Lindo Michoacan','Spring Valley','10082 W Flamingo Rd','Las Vegas','NV','89147','361.155.359','-1.153.124.359','3.5','394','1','Mexican'
'Jewel of the Crown','','7373 E Scottsdale Mall Ste 1','Scottsdale','AZ','85251','334.921.674','-1.119.230.972','4.0','123','1','Pakistani'
'Countryside Farmers Market At Howe Meadow','','4040 Riverview Rd','Peninsula','OH','44264','411.885.818','-815.820.578','4.5','8','1','Local Flavor'
'ESPA at VDARA','The Strip','2600 W Harmon Ave','Las Vegas','NV','89158','361.092.406','-1.151.784.884','4.0','152','1','Hair Salons'
'Gold Mine Tavern','','23 S Water St','Henderson','NV','89015','36.035.444','-114.985.432','3.5','40','1','Bars'
'Pei Wei','','3426 E Baseline Rd Ste 121','Mesa','AZ','85204','333.814.300.813','-111.756.788.952','2.5','150','1','Gluten-Free'
'Jozo Coffee Tea Boba House','','43 S Stephanie St Ste 120 EOS Gym','Las Vegas','NV','89012','36.027.521','-115.049.222','4.0','180','1','Desserts'
'Fired Pie','','3110 N Central Ave','Phoenix','AZ','85012','334.837.997.294','-112.075.244.154','4.0','211','1','Restaurants'
'Precious Phan Nails','','5710 W Bell Rd Ste 34','Glendale','AZ','85308','33.639.279','-1.121.827.605','5.0','11','1','Beauty & Spas'
'Massage Envy - Blue Diamond Crossing','Southwest','4280 Blue Diamond Ste 101','Las Vegas','NV','89139','36.039.311','-115.198.588','3.5','108','1','Massage'
'Uncle Sam's','','18913 N 83rd Ave','Peoria','AZ','85382','33.655.723','-1.122.370.377','2.5','170','1','Salad'
'Golden Phoenix Chinese Restaurant','','6048 N 16th St','Phoenix','AZ','85016','335.248.308','-1.120.480.016','3.0','96','0','Chinese'
'Olive Garden Italian Restaurant','','7740 Mentor Ave','Mentor','OH','44060','41.659.635','-813.641.501','3.0','45','1','Bars'
'VEGAS! The Show','The Strip','3663 Las Vegas Blvd S Ste 454','Las Vegas','NV','89109','36.110.975','-115.172.145','4.5','275','1','Arts & Entertainment'
'Orient Sushi Grill','','1455 W Elliot Rd Ste 105','Gilbert','AZ','85233','333.494.409','-1.118.212.717','4.0','200','1','Asian Fusion'
'Talking Stick Golf Club','','9998 E Indian Bend Rd','Scottsdale','AZ','85256','33.538.523','-1.118.578.851','3.5','59','1','Golf'
'Dexter's Pub','Eken Park','301 North St','Madison','WI','53704','431.034.271','-893.501.528','4.0','111','1','Bars'
'Firebirds Wood Fired Grill','South Park','3920 Sharon Rd','Charlotte','NC','28211','351.559.943.107','-808.239.325.442','4.0','140','1','Seafood'
'Kohl's','','1632 S Signal Butte Rd','Mesa','AZ','85209','33.385.025','-111.602.739','4.0','8','1','Men's Clothing'
'District American Kitchen and Wine Bar','','320 N 3rd St','Phoenix','AZ','85004','334.517.463','-1.120.702.494','3.5','396','1','Bars'
'M&M Soul Food Cafe','The Strip','2211 S Las Vegas Blvd','Las Vegas','NV','89104','361.453.494.842','-115.156.019.926','3.0','332','1','Soul Food'
'Pickering Town Centre','','1355 Kingston Road','Pickering','ON','L1V 1B8','543.880.405.177','-604.871.321.246','3.5','19','1','Shopping'
'Venezias New York Style Pizzeria','','2721 S Ellsworth Rd Ste 107','Mesa','AZ','85209','333.657.827','-1.116.350.577','4.0','199','1','Chicken Wings'
'Super G Mart','Eastland','7323 E Independence Blvd','Charlotte','NC','28227','35.162.832','-80.737.656','4.0','125','1','Ethnic Food'
'Panera Bread','Anthem','9911 S Eastern Ave','Henderson','NV','89123','36.009.507','-11.511.792','3.5','169','1','Restaurants'
'Ming Fu','','115 W John St','Matthews','NC','28105','351.160.084','-807.233.218','3.5','121','1','Chinese'
'Acupuncture Vegas','The Lakes','2760 Lake Sahara Dr Ste 104','Las Vegas','NV','89117','361.401.296','-1.152.835.033','5.0','42','1','Traditional Chinese Medicine'
'King Gyros','','4243 W Thunderbird Rd','Phoenix','AZ','85053','336.105.418','-1.121.485.743','4.5','205','1','Mediterranean'
'EPIQ','','4426 N Saddlebag Trl','Scottsdale','AZ','85251','335.016.284.238','-11.192.231.312','3.0','5','0','Nightlife'
'Yoga Breeze Healing and Wellness Center','','4705 E Carefree Hwy Ste 111','Cave Creek','AZ','85331','337.979.911','-1.119.803.344','5.0','16','1','Massage Therapy'
'Spicy Pickle','Southeast','7271 Amigo St Ste 180','Las Vegas','NV','89119','36.057.686','-115.149.962','3.0','94','0','Sandwiches'
'Toronto Blue Jays','Entertainment District','1 Blue Jays Way','Toronto','ON','M5V 1J3','43.641.606.348','-793.889.236.355','4.0','30','1','Arts & Entertainment'
'Samurai Sushi and Steakhouse','','16670 Royalton Rd','Strongsville','OH','44136','41.315.657','-81.815.215','3.5','90','1','Steakhouses'
'Geisha House Steak & Sushi','','6572 N Decatur Blvd Ste 150','North Las Vegas','NV','89084','36.279.651','-115.206.043','3.5','268','1','Restaurants'
'Bliss Massage Therapy','','325 Matthews Mint Hill Rd Ste 107 Matthews Executive Center','Matthews','NC','28105','351.175.948.945','-807.172.553.954','5.0','10','1','Health & Medical'
'Aj's Fine Foods','','20050 N 67th Ave','Glendale','AZ','85308','33.666.589','-112.205.408','3.5','104','1','Convenience Stores'
'Old Country Buffet','','17125 N 79th Ave','Glendale','AZ','85308','336.397.844','-1.122.287.981','2.5','77','1','Breakfast & Brunch'
'Wild Thaiger','','2631 N Central Ave','Phoenix','AZ','85004','33.477.923','-112.073.395','3.5','576','1','Restaurants'
'PetSmart','','1949 E Camelback Rd','Phoenix','AZ','85016','33.507.867','-1.120.404.159','3.0','43','1','Pet Groomers'
'Shadows Lounge','','9800 E Talking Stick Way','Scottsdale','AZ','85256','335.385.093','-1.118.695.928','4.0','30','1','Bars'
'Top Shelf Wine & Spirits','Spring Valley','6415 S Fort Apache Rd Ste 100','Las Vegas','NV','89148','360.718.816.363','-115.298.111.541','4.5','38','1','Food'
'Metro Pizza','','4001 S Decatur Blvd Ste 39','Las Vegas','NV','89103','361.184.484.856','-115.209.104.221','3.5','273','1','Event Planning & Services'
'The Cork and Cask','','9624 Bailey Rd Ste F','Cornelius','NC','28031','35.458.256','-80.867.458','4.5','46','1','Pubs'
'Madison Avenue Int'l Salon & Day Spa','','4910 E Chandler Blvd','Phoenix','AZ','85048','333.066.849','-1.119.775.814','4.0','74','1','Beauty & Spas'
'WaffleS Cafe','Spring Valley','5165 S Fort Apache Rd Ste 160','Las Vegas','NV','89148','360.944.116','-1.152.973.533','4.0','142','0','Restaurants'
'Alpha Chiropractic & Physical Therapy','','4955 S Alma School Rd Ste 10','Chandler','AZ','85248','3.323.482','-1.118.585.831','4.5','8','1','Chiropractors'
'Tailgaters Grill','','4604 S Higley Rd Ste 103','Gilbert','AZ','85297','332.667.706','-1.117.220.739','2.0','103','0','Sports Bars'
'JalapeΓ±o Buck's','','3434 N Val Vista Dr','Mesa','AZ','85213','334.792.917.767','-111.753.202.416','4.5','183','1','Mexican'
'Braddah's Island Style','University','4632 S Maryland Pkwy Ste 17','Las Vegas','NV','89119','361.050.259','-1.151.359.481','4.5','151','0','Food'
'Made In China','Ryerson','371 Yonge Street','Toronto','ON','M5B 1S1','436.584.801','-793.814.802','3.0','40','0','Hot Pot'
'Sprouts Farmers Market','','515 N Stephanie St','Henderson','NV','89014','360.568.838.512','-115.048.286.319','4.0','101','1','Specialty Food'
'Classic Car Spa','','2297 S Val Vista Dr','Gilbert','AZ','85295','333.085.253','-1.117.548.539','2.5','141','0','Automotive'
'Starbucks','The Strip','3720 S Las Vegas Blvd','Las Vegas','NV','89109','361.079.837.438','-115.174.990.717','3.0','24','1','Coffee & Tea'
'Dutch Bros Coffee','','6235 E Bell Rd','Scottsdale','AZ','85250','336.399.207','-1.119.453.756','4.5','104','1','Food'
'Mi Patio','','3347 N 7th Ave','Phoenix','AZ','85013','334.874.748','-1.120.830.342','4.0','513','1','Restaurants'
100 rows selected (61.764 seconds)
