Saving all output to "/home/user12/USER12Q6.csv". Enter "record" with no arguments to stop it.
'CHECKINSUM','CATEGORIES'
'2','Escape Games'
'1','Estate Planning Law'
'15','Ethnic Food'
'1','Ethnic Grocery'
'1','Event Photography'
'303','Event Planning & Services'
'4','Eyebrow Services'
'25','Eyelash Service'
'32','Eyewear & Opticians'
'4','Fabric Stores'
'1','Falafel'
'27','Family Practice'
'8','Farmers Market'
'1','Farming Equipment'
'119','Fashion'
'234','Fast Food'
'3','Fences & Gates'
'2','Fertility'
'7','Festivals'
'6','Filipino'
'4','Financial Advising'
'93','Financial Services'
'1','Fireworks'
'1','First Aid Classes'
'13','Fish & Chips'
'1','Fishing'
'119','Fitness & Instruction'
'9','Flooring'
'13','Florists'
'1','Flowers'
'45','Flowers & Gifts'
'2','Fondue'
'1335','Food'
'6','Food Court'
'29','Food Delivery Services'
'6','Food Stands'
'34','Food Trucks'
'2','Formal Wear'
'21','French'
'14','Fruits & Veggies'
'7','Funeral Services & Cemeteries'
'1','Furniture Assembly'
'1','Furniture Repair'
'2','Furniture Reupholstery'
'12','Furniture Stores'
'7','Garage Door Services'
'1','Gardeners'
'54','Gas Stations'
'4','Gastroenterologist'
'1E+1','Gastropubs'
'3','Gay Bars'
'1','Gelato'
'116','General Dentistry'
'1','General Litigation'
'1','Generator Installation/Repair'
'7','German'
'8','Gift Shops'
'1','Glass Blowing'
'12','Gluten-Free'
'2E+1','Golf'
'2','Golf Cart Dealers'
'1','Golf Equipment'
'2','Golf Lessons'
'5','Graphic Design'
'4E+1','Greek'
'1','Grilling Equipment'
'181','Grocery'
'1','Guest Houses'
'2','Gun/Rifle Ranges'
'6','Guns & Ammo'
'1','Gutter Services'
'3','Gymnastics'
'94','Gyms'
'8','Hair Extensions'
'1','Hair Loss Centers'
'57','Hair Removal'
'134','Hair Salons'
'19','Hair Stylists'
'9','Halal'
'5','Handyman'
'15','Hardware Stores'
'1','Hats'
'1','Haunted Houses'
'22','Hawaiian'
'6.6E+2','Health & Medical'
'27','Health Markets'
'38','Heating & Air Conditioning/HVAC'
'1','Henna Artists'
'2','Hepatologists'
'2','Herbs & Spices'
'3','High Fidelity Audio Equipment'
'3','Hiking'
'9','Hobby Shops'
'8E+1','Home & Garden'
'4','Home & Rental Insurance'
'2','Home Automation'
'4','Home Cleaning'
'15','Home Decor'
'3','Home Energy Auditors'
'4','Home Health Care'
'5','Home Inspectors'
'1','Home Organization'
'262','Home Services'
'1','Home Staging'
'2','Home Window Tinting'
'1','Horse Boarding'
'4','Horseback Riding'
'2','Hospice'
'31','Hospitals'
'2','Hostels'
'1E+1','Hot Dogs'
'4','Hot Pot'
'2','Hot Tub & Pool'
'107','Hotels'
'362','Hotels & Travel'
'1','Hydrotherapy'
'16','IT Services & Computer Repair'
'5E+1','Ice Cream & Frozen Yogurt'
'3','Immunodermatologists'
'15','Imported Food'
'41','Indian'
'26','Insurance'
'5','Interior Design'
'21','Internal Medicine'
'1','International'
'3','International Grocery'
'3','Internet Cafes'
'5','Internet Service Providers'
'4','Interval Training Gyms'
'4','Investing'
'1','Irish Pub'
'78','Italian'
'44','Japanese'
'37','Jewelry'
'2','Jewelry Repair'
'57','Juice Bars & Smoothies'
'5','Junk Removal & Hauling'
'2','Karaoke'
'1','Kebab'
'4','Keys & Locksmiths'
'1','Kids Activities'
'5','Kitchen & Bath'
'7','Knitting Supplies'
'24','Korean'
'12','Laboratory Testing'
'1','Lakes'
'15','Landmarks & Historical Buildings'
'3','Landscape Architects'
'17','Landscaping'
'1','Language Schools'
'1E+1','Laser Eye Surgery/Lasik'
'7','Laser Hair Removal'
'2','Laser Tag'
'5','Latin American'
'2','Laundromat'
'34','Laundry Services'
'1E+1','Lawyers'
'2','Leather Goods'
'4','Lebanese'
'2','Leisure Centers'
'34','Libraries'
'1','Lice Services'
'2','Life Coach'
'3','Lighting Fixtures & Equipment'
'7','Limos'
'4','Lingerie'
'2','Live/Raw Food'
'4E+1','Local Flavor'
'271','Local Services'
'7','Lounges'
'1','Luggage'
'2','Mailbox Centers'
'23','Makeup Artists'
'11','Malaysian'
'1','Marinas'
'2','Marketing'
'3','Martial Arts'
'1','Masonry/Concrete'
'19','Mass Media'
'39','Massage'
'1','Massage Schools'
'41','Massage Therapy'
'1','Maternity Wear'
'4','Mattresses'
'14','Meat Shops'
'7E+1','Medical Centers'
'2E+1','Medical Spas'
'3','Medical Supplies'
'3','Meditation Centers'
'47','Mediterranean'
'2E+1','Men's Clothing'
'13','Men's Hair Salons'
'75','Mexican'
'29','Middle Eastern'
'24','Middle Schools & High Schools'
'1','Midwives'
'2','Mobile Phone Accessories'
'7','Mobile Phone Repair'
'28','Mobile Phones'
'2','Modern European'
'16','Mongolian'
'1','Montessori Schools'
'1','Moroccan'
'6','Mortgage Brokers'
'2','Mortgage Lenders'
'1','Mortuary Services'
'9','Motorcycle Dealers'
'1','Motorcycle Gear'
'7','Motorcycle Repair'
'2','Mountain Biking'
'16','Movers'
'34','Museums'
'15','Music & DVDs'
'14','Music Venues'
'3','Musical Instrument Services'
'13','Musical Instruments & Teachers'
'31','Na'
'1.1E+2','Nail Salons'
'1','Nail Technicians'
'7','Naturopathic/Holistic'
'6','Neurologist'
'144','Nightlife'
'5','Noodles'
'18','Notaries'
'13','Nurseries & Gardening'
'1E+1','Nutritionists'
'27','Obstetricians & Gynecologists'
'4','Occupational Therapy'
'1E+1','Office Cleaning'
'8','Office Equipment'
'1E+2','Oil Change Stations'
'1','Olive Oil'
'16','Oncologist'
'9','Ophthalmologists'
'46','Optometrists'
'2E+1','Oral Surgeons'
'14','Organic Stores'
'49','Orthodontists'
'11','Orthopedists'
'1','Orthotics'
'6','Osteopathic Physicians'
'6','Outdoor Gear'
'1','Paddleboarding'
'3','Pain Management'
'4','Paint Stores'
'1','Paintball'
'3','Painters'
'6','Pakistani'
'7','Pan Asian'
'1','Parking'
'137','Parks'
'13','Party & Event Planning'
'1','Party Equipment Rentals'
'3','Party Supplies'
'1','Pathologists'
'9','Patisserie/Cake Shop'
'3','Pawn Shops'
'2','Payroll Services'
'29','Pediatric Dentists'
'15','Pediatricians'
'76','Performing Arts'
'7','Periodontists'
'3','Permanent Makeup'
'3','Persian/Iranian'
'1','Personal Chefs'
'1','Personal Shopping'
'1','Peruvian'
'11','Pest Control'
'2','Pet Adoption'
'1','Pet Boarding'
'5E+1','Pet Groomers'
'82','Pet Services'
'19','Pet Sitting'
'27','Pet Stores'
'12','Pet Training'
'162','Pets'
'5','Pharmacy'
'2','Photo Booth Rentals'
'7','Photographers'
'12','Photography Stores & Services'
'51','Physical Therapy'
'5','Piercing'
'16','Pilates'
'119','Pizza'
'1','Planetarium'
'1','Plastic Surgeons'
'4','Playgrounds'
'11','Plumbing'
'8','Podiatrists'
'4','Poke'
'3','Police Departments'
'6','Polish'
'2','Pool & Hot Tub Service'
'6','Pool Cleaners'
'3','Popcorn Shops'
'4','Portuguese'
'21','Post Offices'
'4','Poutineries'
'3E+1','Preschools'
'1','Pressure Washers'
'6','Print Media'
'19','Printing Services'
'1','Private Investigation'
'92','Professional Services'
'4','Professional Sports Teams'
'1','Propane'
'1E+1','Property Management'
'2','Prosthetics'
'2','Prosthodontists'
'1','Psychiatrists'
'1','Psychologists'
'22','Public Markets'
'3','Public Relations'
'1.4E+2','Public Services & Government'
'1E+1','Public Transportation'
'32','Pubs'
'3','RV Dealers'
'2','RV Parks'
'1','RV Rental'
'3','RV Repair'
'6','Race Tracks'
'2','Races & Competitions'
'12','Radio Stations'
'6','Radiologists'
'1','Rafting/Kayaking'
'2','Ramen'
'92','Real Estate'
'8','Real Estate Agents'
'27','Real Estate Services'
'1','Recording & Rehearsal Studios'
'3','Recreation Centers'
'2','Recycling Center'
'3','Refinishing Services'
'5','Reflexology'
'2','Registration Services'
'6','Rehabilitation Center'
'2','Reiki'
'11','Religious Organizations'
'2','Resorts'
'1984','Restaurants'
'2','Retirement Homes'
'1','Roadside Assistance'
'1','Rolfing'
'4','Roofing'
'88','Salad'
'2','Salvadoran'
'247','Sandwiches'
'1','Saunas'
'1','Scandinavian'
'7','Scottish'
'1','Screen Printing'
'1','Screen Printing/T-Shirt Printing'
'3','Scuba Diving'
'29','Seafood'
'3','Seafood Markets'
'4','Security Systems'
'16','Self Storage'
'1','Septic Services'
'5','Session Photography'
'3E+1','Sewing & Alterations'
'3','Shades & Blinds'
'5','Shaved Ice'
'43','Shipping Centers'
'4','Shoe Repair'
'1','Shoe Shine'
'19','Shoe Stores'
'494','Shopping'
'59','Shopping Centers'
'1','Shutters'
'6','Signmaking'
'1','Skate Shops'
'1','Skating Rinks'
'56','Skin Care'
'2','Sleep Specialists'
'21','Smog Check Stations'
'1','Smokehouse'
'3','Soccer'
'3','Social Clubs'
'2','Solar Installation'
'22','Soul Food'
'16','Soup'
'16','Southern'
'1','Spanish'
'1','Special Education'
'103','Specialty Food'
'34','Specialty Schools'
'1','Spin Classes'
'2','Spine Surgeons'
'36','Sporting Goods'
'1E+1','Sports Bars'
'17','Sports Clubs'
'19','Sports Medicine'
'4','Sports Wear'
'6','Spray Tanning'
'1','Sri Lankan'
'8','Stadiums & Arenas'
'25','Steakhouses'
'1E+1','Street Vendors'
'2','Striptease Dancers'
'13','Summer Camps'
'1','Supernatural Readings'
'4','Surgeons'
'69','Sushi Bars'
'5','Swabian'
'8','Swimming Pools'
'2','Swimwear'
'1','Szechuan'
'1','Tabletop Games'
'1','Taiwanese'
'19','Tanning'
'2','Tanning Beds'
'3','Tapas Bars'
'2','Tapas/Small Plates'
'15','Tattoo'
'3','Tattoo Removal'
'2','Tax Services'
'2','Taxis'
'9','Tea Rooms'
'3','Telecommunications'
'4','Television Service Providers'
'1','Tempura'
'1','Tennis'
'34','Tex-Mex'
'35','Thai'
'6','Threading Services'
'24','Thrift Stores'
'2','Ticket Sales'
'2','Tiling'
'7E+1','Tires'
'13','Tobacco Shops'
'1E+1','Tours'
'8','Towing'
'4','Toy Stores'
'8','Traditional Chinese Medicine'
'1','Traffic Schools'
'1','Trailer Dealers'
'1','Trailer Repair'
'11','Train Stations'
'88','Trainers'
'1','Trampoline Parks'
'1','Translation Services'
'1E+1','Transmission Repair'
'16','Transportation'
'4','Travel Services'
'5','Tree Services'
'4','Truck Rental'
'1','Turkish'
'2','Tutoring Centers'
'1','Uniforms'
'27','Urgent Care'
'3','Urologists'
'8','Used'
'4','Used Car Dealers'
'1','Utilities'
'1','Vacation Rental Agents'
'3','Vacation Rentals'
'2','Valet Services'
'13','Vape Shops'
'23','Vegan'
'14','Vegetarian'
'1','Vehicle Wraps'
'31','Venues & Event Spaces'
'91','Veterinarians'
'2','Video Game Stores'
'2','Video/Film Production'
'2','Videographers'
'2','Videos & Video Game Rental'
'39','Vietnamese'
'1','Vinyl Records'
'5','Vitamins & Supplements'
'3','Vocational & Technical School'
'1','Waffles'
'7','Waldorf Schools'
'2','Watch Repair'
'4','Watches'
'8','Water Heater Installation/Repair'
'2','Water Purification Services'
'26','Waxing'
'6','Web Design'
'1E+1','Wedding Planning'
'25','Weight Loss Centers'
'2E+1','Wheel & Rim Repair'
'1','Whiskey Bars'
'32','Wholesale Stores'
'2','Wholesalers'
'1','Wildlife Control'
'1','Wills'
'4','Window Washing'
'13','Windows Installation'
'1E+1','Windshield Installation & Repair'
'4','Wine Bars'
'1','Wine Tours'
'1','Wineries'
'37','Women's Clothing'
'1','Wraps'
'2','Yelp Events'
'49','Yoga'
'1','Zoos'
728 rows selected (62.476 seconds)
